status_change,on,PoolHeaterPhoton,"November 19, 2017 at 07:37PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 07:43PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 07:48PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 07:53PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 07:56PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 07:57PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 08:04PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 08:00PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 09:38PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 09:56PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 09:58PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 10:03PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 10:17PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 10:09PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 10:19PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 10:22PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 10:28PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 10:25PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 10:31PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 10:38PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 10:43PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 10:35PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 10:41PM"
status_change,off,PoolHeaterPhoton,"November 19, 2017 at 10:45PM"
status_change,on,PoolHeaterPhoton,"November 19, 2017 at 11:59PM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 12:16AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 12:18AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 12:24AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 12:30AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 12:23AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 12:28AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 12:38AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 12:43AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 12:34AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 12:41AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 12:46AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 12:48AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 12:56AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 12:52AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 01:00AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 01:03AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 01:10AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 01:07AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 01:13AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 01:16AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 01:23AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 01:18AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 01:29AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 01:35AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 01:42AM"
status_change,on,PoolHeaterPhoton,"November 20, 2017 at 03:01AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 03:22AM"
status_change,off,PoolHeaterPhoton,"November 20, 2017 at 03:26AM"
